Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,239.27398681640625,239.30960464741972,238.05434099653093,238.44605563234495,86655700
2018-01-03,240.78738403320312,240.93873940840155,239.4430896578992,239.4430896578992,90070400
2018-01-04,241.80230712890625,242.2919640031969,240.84975429810646,241.43732624618858,80636400
2018-01-05,243.41366577148438,243.53828741133856,242.1049891265888,242.60353002288795,83524000
2018-01-08,243.85879516601562,244.01903463338954,243.02195283402983,243.31572519088206,57319200
2018-01-09,244.41087341308594,245.04294752341758,244.00133611933398,244.28622454060792,57254000
2018-01-10,244.03688049316406,244.30397349586673,242.9685899876945,243.6451658239578,69574300
2018-01-11,245.8174285888672,245.8174285888672,244.4286317062087,244.59778248267554,62361500
2018-01-12,247.41990661621094,247.58903022509952,245.78181201792546,246.0845229014976,90816100
2018-01-16,246.5741729736328,249.35176698132918,245.87086321897462,248.69298632188807,106555100
2018-01-17,248.9243621826172,249.31607683096257,246.57410146099048,247.51777024970102,113258800
2018-01-18,248.50595092773438,249.2359398414684,248.00738281742383,248.80863455897895,100728000
2018-01-19,249.63650512695312,249.63650512695312,248.50589061683493,249.09343523766435,140920100
2018-01-22,251.66632080078125,251.66632080078125,249.369446475561,249.42288679868687,91322400
2018-01-23,252.20057678222656,252.4943492462935,251.38152948043933,251.71091978417996,97084700
2018-01-24,252.1025848388672,253.45579079530785,250.90964554515227,252.8503963139521,134816100
2018-01-25,252.20945739746094,253.0730066106264,251.4082326107545,252.9750915134344,84587300
2018-01-26,255.1294708251953,255.17399991200986,252.79700519907914,253.05518696356899,107743100
2018-01-29,253.43798828125,254.9959357693171,253.2777487743335,254.55080791558365,90118300
2018-01-30,250.83851623535156,253.49146148408775,250.35777043229993,251.5863279465127,131796400
2018-01-31,250.96304321289062,252.20939559440293,249.87693031576325,251.70197056051725,108364800
2018-02-01,250.6781463623047,251.99573435982157,249.8769217992437,250.2241345053547,90102500
2018-02-02,245.2208709716797,249.47629087350109,245.18525314703905,249.34273082320865,173174800
2018-02-05,234.9651641845703,245.57702335121854,234.41321003556783,243.4404152521832,294681800
2018-02-06,239.59451293945312,240.10196519204598,230.30915281692052,231.41306115439525,355026800
2018-02-07,238.2947998046875,242.47007482472614,238.2146528684422,239.03370021996324,167376100
2018-02-08,229.35658264160156,238.73988542101256,229.32096480607842,238.5974412473681,246449500
2018-02-09,232.80186462402344,234.68029110269694,225.1634691182985,232.17867476912303,283565300
2018-02-12,236.2203826904297,237.7071212765538,232.94424908762355,234.8760882394416,143736000
2018-02-13,236.8079833984375,237.35993750903168,234.41319372367704,235.00076566450298,81223600
2018-02-14,240.00405883789062,240.36906697758923,235.29459802957084,235.30350928151137,120735700
2018-02-15,243.06646728515625,243.07537853439516,239.27397001760232,241.7667018130873,111200300
2018-02-16,243.1376953125,245.10517976141142,242.38988386429256,242.4344129456227,160420100
2018-02-20,241.61541748046875,243.63631552419156,240.81419269815765,242.17628297862177,86369700
2018-02-21,240.4134979248047,244.5710032544408,240.3155828561697,242.06047610896744,98883700
2018-02-22,240.72512817382812,243.0843002699461,240.04855233793677,241.34831801134473,110511300
2018-02-23,244.56210327148438,244.56210327148438,241.4818265655909,241.96257218693196,92766400
2018-02-26,247.4020538330078,247.49999608769443,245.05179291035216,245.648249015592,86491400
2018-02-27,244.31289672851562,248.31016381140626,244.25057230105298,247.58903160646253,99099200
2018-02-28,241.83795166015625,245.87972008162694,241.51747265406172,245.42568098787888,121907800
2018-03-01,238.32147216796875,243.19117214642964,236.8080265444778,241.62431335208126,176855100
2018-03-02,239.5499725341797,240.11974917720585,235.7575020317637,236.6299351597847,139083200
2018-03-05,242.31866455078125,242.94185431401868,238.2412788463978,238.34813233575227,97307400
2018-03-06,242.93301391601562,243.38705308075063,241.41956814586666,243.30690614824894,79213200
2018-03-07,242.84390258789062,243.19999936649717,240.54705527270215,240.74291257620217,87063500
2018-03-08,244.01907348632812,244.14369514686976,242.5234505491541,243.52941658902225,66901200
2018-03-09,248.26559448242188,248.26559448242188,245.12299305233222,245.44349922130084,113625300
2018-03-12,247.95394897460938,249.1914171449665,247.56223438603888,248.5593433550447,71924800
2018-03-13,246.35154724121094,249.6365927990102,245.73726866253648,249.12914055254927,91968900
2018-03-14,245.08729553222656,247.50879125538586,244.52645746366102,247.32184523253068,105895100
2018-03-15,244.82034301757812,246.2536418031156,244.31289069525897,245.60377246218647,83433000
2018-03-16,245.08578491210938,246.1494343264616,245.03215782207974,245.35392036225767,100343700
2018-03-19,241.76966857910156,245.2645124685636,240.09822743137104,244.32601119353234,109208400
2018-03-20,242.180908203125,242.82446067288464,241.4926482990443,242.17196126080816,59757300
2018-03-21,241.71604919433594,244.25449800960592,241.50154084515333,242.1361462296566,78709600
2018-03-22,235.6738739013672,240.32172828965346,235.39676420360612,239.4636674802756,148785900
2018-03-23,230.65054321289062,236.45146118503908,230.45390146337277,236.1207517147721,183534800
2018-03-26,236.96090698242188,237.24693629092693,231.86614290129953,234.2973374690801,141956100
2018-03-27,232.9298095703125,238.44467108472054,231.35667553367676,237.9084001879204,129941400
2018-03-28,232.2415008544922,234.7531629858063,231.12422459281876,233.06382818507493,146452300
2018-03-29,235.2090301513672,237.09500696191495,232.25048432724498,233.3945743080784,111601600
2018-04-02,230.13211059570312,235.1911410946547,227.6294088870754,234.67270960191976,186286300
2018-04-03,233.0817108154297,233.56438183129856,229.56900055368567,231.3834562363407,119956900
2018-04-04,235.5754852294922,236.2905311934169,229.3544980561309,229.48856576470988,123715300
2018-04-05,237.43467712402344,238.32849832576616,236.25482659118103,237.35420921187924,82652600
2018-04-06,232.14321899414062,236.96090057655272,230.6058455990567,235.4503680008432,179521200
2018-04-09,233.28733825683594,236.7196084659643,232.3398899464793,233.61804774364322,105442900
2018-04-10,236.99668884277344,237.79220281432418,235.05711208851858,236.21012181206305,103529000
2018-04-11,235.75424194335938,237.434629832301,235.4235325289459,235.4950262088517,91140200
2018-04-12,237.69386291503906,238.65025813651008,236.91624284277574,237.09501799198347,68890500
2018-04-13,236.99668884277344,239.13293463196453,235.97774684554128,239.01673351007432,85079200
2018-04-16,238.9452362060547,239.7228836502115,237.81903991621982,238.65028717895208,63405300
2018-04-17,241.50160217285156,242.10939416805164,240.21449719639025,240.73290159764588,64682000
2018-04-18,241.68028259277344,242.49363573012243,241.21547819742744,241.94841799220134,57303900
2018-04-19,240.33956909179688,241.2244432536205,239.2937864009783,241.01885458044958,77655900
2018-04-20,238.30162048339844,240.49149299837487,237.40779942051077,240.26803773265294,99953100
2018-04-23,238.26593017578125,239.44578073774375,237.17546719165088,238.88266900238622,65558000
2018-04-24,235.05712890625,239.5262352848042,233.53762182663735,239.30277996587648,112885500
2018-04-25,235.63809204101562,236.0850026499688,233.1532701463263,234.99453967303268,103840900
2018-04-26,238.03353881835938,238.87373298935213,236.2280296834921,236.67494031583888,67731900
2018-04-27,238.2569580078125,238.95413739747028,237.309509793079,238.65024148682522,57053600
2018-04-30,236.42466735839844,239.44578754510434,236.3531463831958,238.88267579373777,82182300
2018-05-01,236.8448028564453,236.95205705938773,234.27951254217297,235.85264692469957,74203400
2018-05-02,235.25372314453125,237.47038200296717,234.86043968050132,236.64808187072646,86368900
2018-05-03,234.7353057861328,235.39672470767096,231.54435773765962,234.4135432655759,136311500
2018-05-04,237.77432250976562,238.46258233956678,233.4214173243,233.7521268271737,91222100
2018-05-07,238.5787353515625,239.56191672054447,237.85471517963686,238.55192181017674,55304900
2018-05-08,238.5787353515625,238.94517799141667,236.99665457803698,238.2033184949068,67499200
2018-05-09,240.8848876953125,241.2155972769508,238.73077466565567,239.2581260630339,59666100
2018-05-10,243.13717651367188,243.46791319372545,241.52830963837948,241.6355637930987,72063900
2018-05-11,243.87916564941406,244.1473011488374,242.74399505490726,243.26242672347695,59871500
2018-05-14,243.99533081054688,244.9785123482888,243.44113873135748,244.3170933624058,54790600
2018-05-15,242.31491088867188,242.77074111096397,241.35851574451505,242.75287450839073,87036100
2018-05-16,243.33383178710938,243.79863618647136,242.32380964511552,242.35065046254346,53942600
2018-05-17,243.1283416748047,244.21880475697716,242.34177456277715,243.06576763697035,56536400
2018-05-18,242.52049255371094,243.14617830038242,242.16296953158073,242.77970833759005,64368000
2018-05-21,244.3438720703125,244.88911713067935,243.6288260944029,244.02210956432984,58025900
2018-05-22,243.6646270751953,245.13050719398123,243.33391753741785,244.87129136277872,52966400
2018-05-23,244.3349151611328,244.3617559794584,242.21656358474692,242.37747210842838,64694200
2018-05-24,243.83444213867188,244.20985909037677,242.0289329146439,243.93277666681954,76043800
2018-05-25,243.25347900390625,243.88808453535626,242.7439942793662,243.25347900390625,56374800
2018-05-29,240.4558563232422,242.3775944197113,239.32965975268465,241.60889372567004,115908600
2018-05-30,243.6646270751953,244.11153775376226,241.70718339815403,241.77867710472898,69678400
2018-05-31,242.17193603515625,243.55734808679773,241.56414412071095,243.2534521295751,93519900
2018-06-01,244.54945373535156,244.8533496302651,243.41428350263268,243.48580446452686,71258400
2018-06-04,245.71142578125,245.9706415493243,245.13939443617093,245.38071632401198,45385200
2018-06-05,245.89015197753906,246.27448844446482,245.0678246909237,245.84544456311102,51135000
2018-06-06,247.946044921875,248.05329912292478,245.88131971987576,246.5070055956844,62732200
2018-06-07,247.9191131591797,248.73249349899058,246.9984786694598,248.4375445867408,72969400
2018-06-08,248.65216064453125,248.70578774272605,247.2846150860391,247.45444332274346,72139700
2018-06-11,248.98284912109375,249.7068421627629,248.75939380509067,248.87559493377393,58892500
2018-06-12,249.30455017089844,249.67099275464653,248.65205106074225,249.40285738184292,72329000
2018-06-13,248.50906372070312,249.80511514513583,248.3034750608145,249.54589940479858,79070600
2018-06-14,249.134765625,249.67103646449203,248.53589348456015,249.38503444251472,77097600
2018-06-15,248.81692504882812,249.15810660542257,247.2187804414169,248.34107377245678,120041600
2018-06-18,248.30528259277344,248.43099266347895,246.85978117818345,247.34459242296614,52917600
2018-06-19,247.353515625,247.57797435061252,245.58477977118346,246.00676327132487,97531500
2018-06-20,247.77542114257812,248.44879710748353,247.43423960306797,248.04476056864502,53785500
2018-06-21,246.22222900390625,247.78448032871412,245.7194436625129,247.76650609525615,71061400
2018-06-22,246.67117309570312,247.61391626248277,246.44671435119594,247.49719333137918,54898500
2018-06-25,243.3132781982422,245.66560144852366,241.6073972258796,245.5039977289812,137854200
2018-06-26,243.8519287109375,244.71384241714557,243.12468474011462,243.8878497736211,68547400
2018-06-27,241.83177185058594,245.88997466162047,241.679127902059,244.44447400671342,105110700
